"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"rpoB_OTU_108","rpoB_OTU_108",7,9230,0.352953988740181,"M6",-0.404039983383856,0.693877551020408,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_110","rpoB_OTU_110",3,0,0.303718314741044,"M12",-1.06414481213069,0.72,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Starkeya","Starkeya novella"
"rpoB_OTU_112","rpoB_OTU_112",7,4841,0.356117517224651,"M8",1.45776992168187,0.72,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_116","rpoB_OTU_116",6,178,0.223531177077151,"M5",0.417105032560307,0.375,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_120","rpoB_OTU_120",11,2010,0.271902401233135,"M6",1.55843993590916,0.6875,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_124","rpoB_OTU_124",4,336,0.245804628435089,"M12",-0.319243443639208,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia broomeae"
"rpoB_OTU_125","rpoB_OTU_125",6,951,0.29196382184508,"M4",-0.625679274192441,0.448979591836735,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_130","rpoB_OTU_130",2,0,0.284259754960479,"M17",-1.26491106406735,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium amorphae"
"rpoB_OTU_131","rpoB_OTU_131",4,0,0.250046623255069,"M16",-0.559016994374947,0.78125,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Fulvimarina","Fulvimarina pelagi"
"rpoB_OTU_134","rpoB_OTU_134",7,891,0.305025824260087,"M14",-0.358426378320087,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis","Methylocystis rosea"
"rpoB_OTU_137","rpoB_OTU_137",8,1941,0.275396191312266,"M4",0.563111346773197,0.722222222222222,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium extorquens group"
"rpoB_OTU_138","rpoB_OTU_138",10,4049,0.265888132033912,"M14",1.19475459440029,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_139","rpoB_OTU_139",6,108,0.276449386358795,"M14",-0.87615336922688,0.5625,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_149","rpoB_OTU_149",11,6969,0.264380017256065,"M14",1.71248158530708,0.666666666666667,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter","Nitrobacter hamburgensis"
"rpoB_OTU_157","rpoB_OTU_157",7,1081,0.235215638633264,"M13",1.65298158237122,0.875,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella sp. Koshimizu 6-1"
"rpoB_OTU_158","rpoB_OTU_158",5,864,0.256791842280081,"M4",-1.22007458467526,0.64,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter","Nitrobacter hamburgensis"
"rpoB_OTU_160","rpoB_OTU_160",9,7107,0.246542426888289,"M10",1.73058854406839,0.444444444444444,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_163","rpoB_OTU_163",6,0,0.22858318327784,"M4",-0.625679274192441,0.693877551020408,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium extorquens group"
"rpoB_OTU_164","rpoB_OTU_164",7,270,0.23405035691365,"M10",0.399366587092706,0.816326530612245,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_165","rpoB_OTU_165",8,1761,0.243129286081411,"M4",0.563111346773197,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis","Methylocystis rosea"
"rpoB_OTU_166","rpoB_OTU_166",4,216,0.223783654377041,"M16",-0.559016994374947,0.78125,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_168","rpoB_OTU_168",8,6669,0.209013331559341,"M14",0.159300612586705,0.826446280991736,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_169","rpoB_OTU_169",3,55,0.209346868157241,"M10",-2.26307732685867,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"rpoB_OTU_172","rpoB_OTU_172",5,650,0.180412230494598,"M17",0.316227766016838,0.375,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium oligotrophicum"
"rpoB_OTU_173","rpoB_OTU_173",5,749,0.213165663342081,"M4",-1.22007458467526,0.32,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella bacilliformis"
"rpoB_OTU_174","rpoB_OTU_174",9,3877,0.206137724633568,"M6",0.577199976262652,0.375,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_175","rpoB_OTU_175",7,27,0.216390862762018,"M19",0.418330013267038,0.56,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_176","rpoB_OTU_176",5,171,0.184638422825625,"M3",-0.74857776055295,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_178","rpoB_OTU_178",8,1555,0.21420886906397,"M6",0.0865799964393978,0.8125,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_183","rpoB_OTU_183",2,0,0.300615186418408,"M7",-0.956464076383303,0.625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor","Nitratireductor aquibiodomus"
"rpoB_OTU_186","rpoB_OTU_186",5,581,0.152331626454803,"M5",-0.119172866445802,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_187","rpoB_OTU_187",5,453,0.193270031780743,"M14",-1.39388036013367,0.5625,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_188","rpoB_OTU_188",9,4247,0.167889926453662,"M5",2.02593872957863,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_190","rpoB_OTU_190",9,2180,0.190757409933911,"M21",1.53420412195473,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_191","rpoB_OTU_191",6,4609,0.1944357108934,"M6",-0.89465996320711,0.666666666666667,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_198","rpoB_OTU_198",10,169,0.188499491814653,"M6",1.06781995608591,0.32,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium extorquens group"
"rpoB_OTU_200","rpoB_OTU_200",5,0,0.174438648554284,"M10",-0.931855369882981,0.722222222222222,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"rpoB_OTU_202","rpoB_OTU_202",4,1358,0.174863057484098,"M12",-0.319243443639208,0.777777777777778,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella schoenbuchensis"
"rpoB_OTU_203","rpoB_OTU_203",8,7605,0.160468413485298,"M16",1.67705098312484,0.666666666666667,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium etli"
"rpoB_OTU_213","rpoB_OTU_213",4,185,0.139099098776145,"M20",-0.585142123204121,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_216","rpoB_OTU_216",9,700,0.176492075832152,"M4",1.15750665725602,0.722222222222222,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_219","rpoB_OTU_219",6,882,0.156475788695458,"M15",0.240123702252396,0.666666666666667,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_223","rpoB_OTU_223",7,2410,0.167839299568451,"M6",-0.404039983383856,0.64,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Chelatococcaceae","Chelatococcus","Chelatococcus sp. GW1"
"rpoB_OTU_224","rpoB_OTU_224",6,279,0.161594149105377,"M10",-0.266244391395138,0.46875,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia broomeae"
"rpoB_OTU_225","rpoB_OTU_225",5,273,0.176218207237759,"M4",-1.22007458467526,0.625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella bacilliformis"
"rpoB_OTU_232","rpoB_OTU_232",7,0,0.180283717094958,"M10",0.399366587092706,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia broomeae"
"rpoB_OTU_235","rpoB_OTU_235",3,0,0.110615293465704,"M5",-1.19172866445802,0.625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_237","rpoB_OTU_237",5,2,0.189789497096503,"M11",0.308902347477144,0.448979591836735,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_241","rpoB_OTU_241",6,536,0.14518114192837,"M9",1.49050201077739,0.444444444444444,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium medicae"
"rpoB_OTU_245","rpoB_OTU_245",4,1472,0.231087759858872,"M7",0.247972167951227,0.722222222222222,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium amorphae"
"rpoB_OTU_246","rpoB_OTU_246",4,760,0.128120584251586,"M17",-0.210818510677892,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"rpoB_OTU_251","rpoB_OTU_251",3,4,0.170139325250998,"M13",-1.23973618677841,0.666666666666667,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_255","rpoB_OTU_255",7,542,0.154518140846712,"M21",0.625046123759334,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_256","rpoB_OTU_256",8,1567,0.146540908969642,"M3",0.655005540483832,0.8,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii"
"rpoB_OTU_257","rpoB_OTU_257",6,915,0.159707516893937,"M5",0.417105032560307,0.448979591836735,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_260","rpoB_OTU_260",6,60,0.142322906093079,"M5",0.417105032560307,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium oligotrophicum"
"rpoB_OTU_261","rpoB_OTU_261",8,3185,0.162927962211785,"M2",2.34807464648263,0.56,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia broomeae"
"rpoB_OTU_265","rpoB_OTU_265",6,1475,0.149104949600115,"M17",0.843274042711568,0.611111111111111,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella bacilliformis"
"rpoB_OTU_279","rpoB_OTU_279",8,3411,0.121305447272355,"M6",0.0865799964393978,0.765432098765432,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_281","rpoB_OTU_281",7,3921,0.159680942746793,"M4",-0.0312839637096219,0.625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_283","rpoB_OTU_283",5,628,0.134081382795523,"M13",0.206622697796402,0.65625,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_284","rpoB_OTU_284",10,3594,0.158186759209521,"M4",1.75190196773884,0.444444444444444,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis","Methylocystis rosea"
"rpoB_OTU_286","rpoB_OTU_286",6,656,0.148515760623483,"M6",-0.89465996320711,0.653061224489796,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Chelatococcaceae","Chelatococcus","Chelatococcus sp. GW1"
"rpoB_OTU_289","rpoB_OTU_289",6,275,0.136715704541385,"M10",-0.266244391395138,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"rpoB_OTU_290","rpoB_OTU_290",9,1988,0.133173989712124,"M19",2.09165006633519,0.72,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_296","rpoB_OTU_296",8,1776,0.103808060002471,"M10",1.06497756558055,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_298","rpoB_OTU_298",5,0,0.121018660557983,"M4",-1.22007458467526,0.857142857142857,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium amorphae"
"rpoB_OTU_299","rpoB_OTU_299",5,560,0.107897399626686,"M3",-0.74857776055295,0.75,"Connectors","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"rpoB_OTU_306","rpoB_OTU_306",7,1833,0.141343662782916,"M12",1.91546066183525,0.5,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium elkanii"
"rpoB_OTU_307","rpoB_OTU_307",7,784,0.138670225633664,"M4",-0.0312839637096219,0.40625,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Afipia","Afipia genosp. 2"
"rpoB_OTU_309","rpoB_OTU_309",5,3011,0.134855387626591,"M10",-0.931855369882981,0,"Peripheral nodes","rpoB","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
