ID,study,OF2,tillage2,irrigation2,cropland.type,rryield,varyield,rrSOC,varSOC,rrN2O,varN2O,rrCH4,varCH4,rrMWD,varMWD
46,4,No,Conventional,rainfed,upland,0.021579486,0.008592715,,,,,,,,
47,4,No,Conventional,rainfed,upland,0.003039516,0.008592715,,,,,,,,
48,4,No,Conventional,rainfed,upland,0.016604155,0.008592715,,,,,,,,
49,4,No,Conventional,rainfed,upland,0.019593694,0.008592715,,,,,,,,
50,4,No,Conventional,rainfed,upland,-0.026215842,0.008592715,,,,,,,,
51,4,No,Conventional,rainfed,upland,0.066249386,0.008592715,,,,,,,,
52,4,No,Conventional,rainfed,upland,0.004555817,0.008592715,,,,,,,,
53,4,No,Conventional,rainfed,upland,0.050455805,0.008592715,,,,,,,,
54,4,No,Conventional,rainfed,upland,-0.025519726,0.008592715,,,,,,,,
55,4,No,Conventional,rainfed,upland,-0.0684306,0.008592715,,,,,,,,
56,4,No,Conventional,rainfed,upland,-0.022293917,0.008592715,,,,,,,,
57,4,No,Conventional,rainfed,upland,0.03405902,0.008592715,,,,,,,,
58,4,No,Conventional,rainfed,upland,0.14760512,0.008592715,,,,,,,,
59,4,No,Conventional,rainfed,upland,0.044657151,0.008592715,,,,,,,,
60,4,No,Conventional,rainfed,upland,0.009404458,0.008592715,,,,,,,,
61,4,No,Conventional,rainfed,upland,0.01944956,0.008592715,,,,,,,,
62,4,No,Conventional,rainfed,upland,0.001635323,0.008592715,,,,,,,,
63,4,No,Conventional,rainfed,upland,-0.014839514,0.008592715,,,,,,,,
64,4,No,Conventional,rainfed,upland,0.057249335,0.008592715,,,,,,,,
65,4,No,Conventional,rainfed,upland,0.171074696,0.008592715,,,,,,,,
66,4,No,Conventional,rainfed,upland,0.16137261,0.008592715,,,,,,,,
67,4,No,Conventional,rainfed,upland,0.040101604,0.008592715,,,,,,,,
68,4,No,Conventional,rainfed,upland,0.035327475,0.008592715,,,,,,,,
69,4,No,Conventional,rainfed,upland,0.064645536,0.008592715,,,,,,,,
70,4,No,Conventional,rainfed,upland,0.030356462,0.008592715,,,,,,,,
71,4,No,Conventional,rainfed,upland,0.152191815,0.008592715,,,,,,,,
72,4,No,Conventional,rainfed,upland,0.238099642,0.008592715,,,,,,,,
73,4,No,Conventional,rainfed,upland,0.125364573,0.008592715,,,,,,,,
74,4,No,Conventional,rainfed,upland,0.054968041,0.008592715,,,,,,,,
75,5,No,Conservation,rainfed,upland,-0.039435559,0.001184397,,,,,,,0.016584128,0.000550155
76,5,No,Conservation,rainfed,upland,,,,,,,,,0.065534041,0.001455783
77,6,No,Conservation,rainfed,upland,,,0.212058719,0.003273252,,,,,0.592559944,0.008243749
78,6,No,Conservation,rainfed,upland,,,0.284019581,0.003273252,,,,,0.589910935,0.008237408
79,6,No,Conservation,rainfed,upland,,,0.0411218,0.003273252,,,,,0.212258311,0.008231742
80,6,No,Conservation,rainfed,upland,,,0.026628792,0.003273252,,,,,0.050010421,0.008241034
81,7,No,Conventional,rainfed,upland,-0.447201291,0.003716248,,,,,,,,
82,7,No,Conventional,rainfed,upland,0.136610954,0.001985412,,,,,,,,
83,8,No,Conventional,rainfed,upland,-0.051293294,0.008592715,,,,,,,,
84,8,No,Conventional,rainfed,upland,0.698134722,0.008592715,,,,,,,,
85,8,No,Conventional,rainfed,upland,0.715397789,0.008592715,,,,,,,,
86,8,No,Conventional,rainfed,upland,-0.240636709,0.008592715,,,,,,,,
87,8,No,Conventional,rainfed,upland,0.599281044,0.008592715,,,,,,,,
88,8,No,Conventional,rainfed,upland,0.55049088,0.008592715,,,,,,,,
89,8,No,Conventional,rainfed,upland,-0.4162179,0.008592715,,,,,,,,
90,8,No,Conventional,rainfed,upland,0.293015418,0.008592715,,,,,,,,
91,8,No,Conventional,rainfed,upland,0.153386446,0.008592715,,,,,,,,
92,8,No,Conventional,rainfed,upland,-0.12095261,0.008592715,0.150433203,0.003273252,,,,,0.028987537,0.00824107
93,8,No,Conventional,rainfed,upland,0.787689901,0.008592715,0.098845835,0.003273252,,,,,0.005865119,0.00824107
94,8,No,Conventional,rainfed,upland,0.652237278,0.008592715,0.127833372,0.003273252,,,,,-0.023810649,0.00824107
95,9,No,Conventional,rainfed,upland,-0.298549382,0.011456953,,,,,,,,
96,9,No,Conventional,rainfed,upland,0.043153904,0.011456953,,,,,,,,
97,9,No,Conventional,rainfed,upland,0.146898207,0.011456953,,,,,,,,
98,9,No,Conventional,rainfed,upland,-0.235072122,1.15E-02,,,,,,,,
99,9,No,Conventional,rainfed,upland,0.072412578,0.011456953,,,,,,,,
100,9,No,Conventional,rainfed,upland,0.17150348,0.011456953,,,,,,,,
101,10,No,Conventional,rainfed,upland,0.019802627,0.011456953,,,,,,,,
102,10,No,Conventional,rainfed,upland,0.193371393,0.011456953,,,,,,,,
103,10,No,Conventional,rainfed,upland,0.342406972,0.011456953,,,,,,,,
104,11,No,Conservation,irrigated,upland,0.112645502,0.02288914,,,,,,,,
105,11,No,Conservation,irrigated,upland,0.239875676,0.017131794,,,,,,,,
106,12,No,Conventional,irrigated,upland,0.032260862,0.016329077,0.046520016,0.00248988,,,,,,
107,12,No,Conventional,irrigated,upland,-0.32782124,0.013165165,0,0.001927438,,,,,,
108,12,No,Conventional,irrigated,upland,0,0.010887026,0,0.00138322,,,,,,
109,12,No,Conventional,irrigated,upland,-0.016529302,0.013563953,0.174353387,0.003120327,,,,,,
110,12,No,Conventional,irrigated,upland,-0.024897552,0.017285973,0.046520016,0.001560128,,,,,,
111,12,No,Conventional,irrigated,upland,-0.188900528,0.011027832,0,0.001179138,,,,,,
112,12,No,Conventional,irrigated,upland,-0.059088916,0.010433324,0.090971778,0.001496856,,,,,,
113,12,No,Conventional,irrigated,upland,-0.116921338,0.007153515,0,0.00094518,,,,,,
114,12,No,Conventional,irrigated,upland,-0.214559808,0.021843097,-0.044451763,0.000989119,,,,,,
115,12,No,Conventional,irrigated,upland,0.053704179,0.005425513,0,0.000775047,,,,,,
116,12,No,Conventional,irrigated,upland,-0.086384614,0.006361733,0.042559614,0.000489951,,,,,,
117,12,No,Conventional,irrigated,upland,-0.140451835,0.005462583,0,0.000775047,,,,,,
118,12,No,Conventional,irrigated,upland,-0.049480057,0.013098563,0,0.001398866,,,,,,
119,12,No,Conventional,irrigated,upland,-0.124703479,0.005911314,0,0.001153119,,,,,,
120,13,No,Conventional,irrigated,upland,-0.057351296,0.00377523,0.036367644,0.001225907,,,,,,
121,13,No,Conventional,irrigated,upland,-0.018753997,0.005762811,0.036367644,0.001570295,,,,,,
122,13,No,Conventional,irrigated,upland,0.287682072,0.002577642,0,0.001234568,,,,,,
123,13,No,Conventional,irrigated,upland,0.165792255,0.008787765,0.036367644,0.001225907,,,,,,
124,13,No,Conventional,irrigated,upland,0.165792255,0.001925762,-0.037740328,0.002901052,,,,,,
125,13,No,Conventional,irrigated,upland,-0.138069386,0.005467357,0.036367644,0.003981009,,,,,,
126,13,No,Conventional,irrigated,upland,-0.046988509,0.00478545,0,0.001604938,,,,,,
127,13,No,Conventional,irrigated,upland,-0.092106208,0.001061533,-0.042559614,0.000736485,,,,,,
128,13,No,Conventional,irrigated,upland,-0.008316056,0.002645605,0,0.000868056,,,,,,
129,13,No,Conventional,irrigated,upland,0.208544752,0.001146964,0,0.000590278,,,,,,
130,13,No,Conventional,irrigated,upland,0.054394072,0.02062217,0,0.000590278,,,,,,
131,13,No,Conventional,irrigated,upland,0.129901625,0.001641135,0,0.000868056,,,,,,
132,13,No,Conventional,irrigated,upland,-0.111591065,0.001555625,-0.042559614,0.001114557,,,,,,
133,13,No,Conventional,irrigated,upland,-0.026220695,0.003628761,0,0.000868056,,,,,,
134,14,No,Conservation,irrigated,upland,-0.031548358,0.011425414,-0.061368946,0.004364336,,,,,,
135,14,No,Conservation,irrigated,upland,-0.034685558,0.011428335,0.017804625,0.004364336,,,,,,
136,14,No,Conservation,irrigated,upland,-0.006389798,0.011438902,-0.028987537,0.004364336,,,,,,
137,14,No,Conservation,irrigated,upland,,,-0.048009219,0.004364336,,,,,,
138,14,No,Conservation,irrigated,upland,,,-0.055350095,0.004364336,,,,,,
139,14,No,Conservation,irrigated,upland,,,-0.172245905,0.004364336,,,,,,
140,15,No,Conventional,irrigated,upland,,,-0.048009219,0.028793503,,,,,0.103989714,0.010565884
141,15,No,Conventional,irrigated,upland,,,0.015504187,0.027222633,,,,,0.242140052,0.012420884
142,16,No,Conservation,rainfed,upland,-0.009661911,0.008592715,,,,,,,,
143,16,No,Conservation,rainfed,upland,-0.05942342,0.008592715,,,,,,,,
144,16,No,Conservation,rainfed,upland,0,0.008592715,,,,,,,,
145,16,No,Conservation,rainfed,upland,-0.087011377,0.008592715,,,,,,,,
146,16,No,Conservation,rainfed,upland,-0.046520016,0.008592715,0.014760416,0.003273252,,,,,0.026550232,0.061806021
147,16,No,Conservation,rainfed,upland,0.070204259,0.008592715,0.064770836,0.003273252,,,,,0.252310444,0.052998809
148,17,No,Conservation,irrigated,upland,-0.00583092,0.008592715,,,,,,,,
149,17,No,Conservation,irrigated,upland,-0.035506688,0.008592715,,,,,,,,
150,17,No,Conservation,irrigated,upland,-0.024541109,0.008592715,,,,,,,,
151,17,No,Conservation,irrigated,upland,-0.068992871,0.008592715,,,,,,,,
152,17,No,Conservation,irrigated,upland,-0.005934736,0.008592715,0.084218079,0.003273252,,,,,-0.029413885,0.05397966
153,17,No,Conservation,irrigated,upland,-0.005934736,0.008592715,0.060870715,0.003273252,,,,,0.316255445,0.040841325
154,18,No,Conservation,rainfed,upland,0.067441281,0.004142978,-0.085471731,0.007037702,,,,,-0.3074847,0.205473587
155,18,No,Conservation,rainfed,upland,,,0.062623423,0.006332225,,,,,-0.765467842,0.085444384
156,18,No,Conservation,rainfed,upland,,,,,,,,,-0.794929875,0.251214013
157,18,No,Conservation,rainfed,upland,,,,,,,,,-0.381367557,0.061162017
158,19,No,Conservation,rainfed,upland,0.041455385,0.002998271,,,,,,,0.193681519,0.004776171
159,19,No,Conservation,rainfed,upland,0.014819303,0.002693753,,,,,,,0.200304059,0.004504738
160,19,No,Conservation,rainfed,upland,,,,,,,,,0.258694536,0.003362405
161,19,No,Conservation,rainfed,upland,,,,,,,,,0.129356021,0.005226205
162,6,No,Conservation,rainfed,upland,0.170760734,0.008592715,,,,,,,,
163,6,No,Conservation,rainfed,upland,0.111791406,0.008592715,,,,,,,,
164,6,No,Conservation,rainfed,upland,0.203507577,0.008592715,,,,,,,,
165,6,No,Conservation,rainfed,upland,0.315081047,0.008592715,,,,,,,,
166,6,No,Conservation,rainfed,upland,-0.031526254,0.008592715,,,,,,,,
167,6,No,Conservation,rainfed,upland,0.017762457,0.008592715,,,,,,,,
168,6,No,Conservation,rainfed,upland,0.133097271,0.008592715,,,,,,,,
169,6,No,Conservation,rainfed,upland,0.102021614,0.008592715,,,,,,,,
170,6,No,Conservation,rainfed,upland,0.427991253,0.008592715,,,,,,,,
171,6,No,Conservation,rainfed,upland,0.166092084,0.008592715,,,,,,,,
172,6,No,Conservation,rainfed,upland,0.077662394,0.008592715,,,,,,,,
173,6,No,Conservation,rainfed,upland,0.088457718,0.008592715,,,,,,,,
174,6,No,Conservation,rainfed,upland,0.44542342,0.008592715,,,,,,,,
175,6,No,Conservation,rainfed,upland,0.091169387,0.008592715,,,,,,,,
176,6,No,Conservation,rainfed,upland,0.055273399,0.008592715,,,,,,,,
177,6,No,Conservation,rainfed,upland,-0.007846596,0.008592715,,,,,,,,
178,6,No,Conservation,rainfed,upland,0.276986783,0.008592715,,,,,,,,
179,6,No,Conservation,rainfed,upland,0.135196672,0.008592715,,,,,,,,
180,6,No,Conservation,rainfed,upland,0.082638089,0.008592715,,,,,,,,
181,6,No,Conservation,rainfed,upland,0.050606035,0.008592715,,,,,,,,
182,6,No,Conservation,rainfed,upland,0.113835143,0.008592715,,,,,,,,
183,6,No,Conservation,rainfed,upland,0.04105054,0.008592715,,,,,,,,
184,6,No,Conservation,rainfed,upland,0.098070494,0.008592715,,,,,,,,
185,6,No,Conservation,rainfed,upland,-0.0662703,0.008592715,,,,,,,,
186,6,No,Conservation,rainfed,upland,0.358188949,0.008592715,,,,,,,,
187,6,No,Conservation,rainfed,upland,0.098904074,0.008592715,,,,,,,,
188,6,No,Conservation,rainfed,upland,-0.009302393,0.008592715,,,,,,,,
189,6,No,Conservation,rainfed,upland,0.040005335,0.008592715,,,,,,,,
190,6,No,Conservation,rainfed,upland,0.35364004,0.008592715,,,,,,,,
191,6,No,Conservation,rainfed,upland,0.170981372,0.008592715,,,,,,,,
192,6,No,Conservation,rainfed,upland,0.081466195,0.008592715,,,,,,,,
193,6,No,Conservation,rainfed,upland,-0.00584797,0.008592715,,,,,,,,
194,20,No,Conventional,rainfed,upland,-0.245122458,0.008592715,,,,,,,,
195,20,No,Conventional,rainfed,upland,-0.090971778,0.008592715,,,,,,,,
196,20,No,Conservation,rainfed,upland,0,0.008592715,,,,,,,,
197,20,No,Conservation,rainfed,upland,0,0.008592715,,,,,,,,
198,20,No,Conventional,rainfed,upland,0,0.008592715,0.10633565,0.003273252,-0.223143551,0.064596939,,,,
199,20,No,Conventional,rainfed,upland,0.231801614,0.008592715,0.088636073,0.003273252,-0.533683762,0.064596939,-1.277842653,0.092173122,,
200,20,No,Conservation,rainfed,upland,-0.255933374,0.008592715,0.014815086,0.003273252,0.333871455,0.064596939,,,,
201,20,No,Conservation,rainfed,upland,-0.032789823,0.008592715,-0.022642477,0.003273252,0.151549898,0.064596939,0.359006853,0.092173122,,
202,20,No,Conventional,rainfed,upland,,,0.070951736,0.003273252,,,,,,
203,20,No,Conventional,rainfed,upland,,,0.066375069,0.003273252,,,,,,
204,20,No,Conservation,rainfed,upland,,,0.020534602,0.003273252,,,,,,
205,20,No,Conservation,rainfed,upland,,,-0.02308602,0.003273252,,,,,,
206,20,No,Conventional,rainfed,upland,,,0.052870333,0.003273252,,,,,,
207,20,No,Conventional,rainfed,upland,,,0.063591103,0.003273252,,,,,,
208,20,No,Conservation,rainfed,upland,,,0.035656451,0.003273252,,,,,,
209,20,No,Conservation,rainfed,upland,,,0.044655387,0.003273252,,,,,,
210,21,No,Conventional,rainfed,upland,-0.068992871,0.008592715,,,,,,,,
211,21,No,Conventional,rainfed,upland,0.021978907,0.008592715,,,,,,,,
212,21,No,Conventional,rainfed,upland,-0.068992871,0.008592715,,,,,,,,
213,21,No,Conventional,rainfed,upland,-0.143100844,0.008592715,,,,,,,,
214,21,No,Conventional,rainfed,upland,0,0.008592715,,,,,,,,
215,21,No,Conventional,rainfed,upland,-0.117783036,0.008592715,,,,,,,,
216,21,No,Conventional,rainfed,upland,-0.022472856,0.008592715,,,,,,,,
217,21,No,Conventional,rainfed,upland,-0.280301965,0.008592715,,,,,,,,
218,21,No,Conventional,rainfed,upland,0.088947486,0.008592715,,,,,,,,
219,21,No,Conventional,rainfed,upland,-0.023530497,0.008592715,,,,,,,,
220,21,No,Conventional,rainfed,upland,-0.177681177,0.008592715,,,,,,,,
221,21,No,Conventional,rainfed,upland,0.088947486,0.008592715,,,,,,,,
222,21,No,Conventional,rainfed,upland,0.067441281,0.008592715,,,,,,,,
223,21,No,Conventional,rainfed,upland,-0.177681177,0.008592715,,,,,,,,
224,21,No,Conventional,rainfed,upland,-0.072320662,0.008592715,,,,,,,,
225,21,No,Conventional,rainfed,upland,0.022989518,0.008592715,,,,,,,,
226,22,Yes,Conservation,irrigated,upland,-0.052185753,0.003944725,,,,,,,,
227,22,Yes,Conservation,irrigated,upland,-0.088553397,0.001744659,,,,,,,,
228,22,Yes,Conservation,irrigated,upland,-0.006514681,0.000580872,,,,,,,,
229,22,Yes,Conservation,irrigated,upland,-0.526093096,0.009281761,,,,,,,,
230,22,Yes,Conservation,irrigated,upland,-0.003853569,0.002083414,0.059719235,0.003754231,,,,,0.427812407,0.046448349
231,22,Yes,Conservation,irrigated,upland,0.04143719,0.003306242,-0.051293295,0.004360026,,,,,0.212921997,0.066932156
232,22,Yes,Conservation,irrigated,upland,,,0.071458964,0.008335946,,,,,0.205443974,0.067115345
233,22,Yes,Conservation,irrigated,upland,,,-0.0719735,0.015158111,,,,,0.025975486,0.075074146
234,23,No,Conservation,rainfed,upland,,,0.284097255,0.003273252,,,,,,
235,23,No,Conservation,rainfed,upland,,,0.270786731,0.003273252,,,,,,
236,23,No,Conservation,rainfed,upland,,,0.260811586,0.003273252,,,,,,
237,23,No,Conservation,rainfed,upland,,,0.188970833,0.003273252,,,,,,
238,23,No,Conservation,rainfed,upland,,,0.021916749,0.003273252,,,,,,
239,23,No,Conservation,rainfed,upland,,,0.25756915,0.003273252,,,,,,
240,24,No,Conservation,rainfed,upland,-0.179585577,0.011456953,,,,,,,,
241,24,No,Conservation,rainfed,upland,-0.196114879,0.011456953,,,,,,,,
242,24,No,Conservation,rainfed,upland,,,0.173158644,0.004364336,,,,,,
243,24,No,Conservation,rainfed,upland,,,0.126040721,0.004364336,,,,,,
244,24,No,Conservation,rainfed,upland,,,0.039478811,0.004364336,,,,,,
245,24,No,Conservation,rainfed,upland,,,-0.013513719,0.004364336,,,,,,
246,24,No,Conservation,rainfed,upland,,,-0.007722046,0.004364336,,,,,,
247,24,No,Conservation,rainfed,upland,,,0.037740328,0.004364336,,,,,,
248,24,No,Conservation,rainfed,upland,,,-0.026907453,0.004364336,,,,,,
249,24,No,Conservation,rainfed,upland,,,-0.036039936,0.004364336,,,,,,
250,24,No,Conservation,rainfed,upland,-0.264692554,0.011456953,,,,,,,,
251,24,No,Conservation,rainfed,upland,-0.184649847,0.011456953,,,,,,,,
252,24,No,Conservation,rainfed,upland,-0.151684496,0.011456953,,,,,,,,
253,24,No,Conservation,rainfed,upland,-0.003710185,0.011456953,,,,,,,,
254,24,No,Conservation,rainfed,upland,-0.119800695,0.011456953,0.173158644,0.004364336,,,,,,
255,24,No,Conservation,rainfed,upland,0.099699731,0.011456953,0.126040721,0.004364336,,,,,,
256,24,No,Conservation,rainfed,upland,,,0.039478811,0.004364336,,,,,,
257,24,No,Conservation,rainfed,upland,,,-0.013513719,0.004364336,,,,,,
258,24,No,Conservation,rainfed,upland,,,-0.007722046,0.004364336,,,,,,
259,24,No,Conservation,rainfed,upland,,,0.037740328,0.004364336,,,,,,
260,24,No,Conservation,rainfed,upland,,,-0.026907453,0.004364336,,,,,,
261,24,No,Conservation,rainfed,upland,,,-0.036039936,0.004364336,,,,,,
262,25,No,Conventional,irrigated,upland,0.093147015,0.008592715,0.005137437,0.001900344,,,,,,
263,25,No,Conventional,irrigated,upland,-0.058557575,0.008592715,-0.022133438,0.001953334,,,,,,
264,25,No,Conventional,irrigated,upland,-0.048452383,0.008592715,-0.006272759,0.001667464,,,,,,
265,25,No,Conventional,irrigated,upland,0.020067563,0.008592715,-0.035645322,0.001868372,,,,,,
266,25,No,Conventional,irrigated,upland,-0.085601366,0.008592715,-0.031609731,0.001563368,,,,,,
267,25,No,Conventional,irrigated,upland,0.017582871,0.008592715,-0.031609731,0.001563368,,,,,,
268,25,No,Conventional,irrigated,upland,0.103649651,0.008592715,0.060994513,0.001352763,,,,,,
269,25,No,Conventional,irrigated,upland,-0.102936528,0.008592715,0.082673229,0.001379851,,,,,,
270,26,No,Conservation,irrigated,upland,,,0.169014485,0.003273252,,,,,,
271,26,No,Conventional,irrigated,upland,,,0.198378994,0.003273252,,,,,,
272,26,No,Conservation,irrigated,upland,,,-0.172446809,0.003273252,,,,,,
273,26,No,Conventional,irrigated,upland,,,0.166065166,0.003273252,,,,,,
274,27,No,Conservation,intermittent,paddy,,,,,0.11506933,0.001067474,0.727843582,0.001662317,,
275,27,No,Conservation,intermittent,paddy,,,,,0.11506933,0.001067474,0.683077568,0.001655561,,
276,27,No,Conventional,intermittent,paddy,,,,,0.380772496,0.001705995,0.673878762,0.001642934,,
277,27,No,Conservation,intermittent,paddy,,,,,0.256719847,0.002018878,0.624017986,0.001668649,,
278,28,No,Conventional,intermittent,paddy,,,,,0.706219262,0.001367171,0.537906582,0.003008447,,
279,28,No,Conventional,intermittent,paddy,,,,,0.274436846,0.002292521,1.017363996,0.001150291,,
280,28,No,Conventional,intermittent,paddy,,,,,0.784118959,0.003330901,0.532305286,0.002994643,,
281,28,No,Conventional,intermittent,paddy,,,,,0.287682072,0.003543084,1.008543822,0.001157835,,
282,29,No,Conventional,rainfed,upland,-0.006740084,0.045156693,-0.048246834,0.003277355,,,,,,
283,29,No,Conventional,rainfed,upland,-0.048633437,0.047143271,0,0.003119355,,,,,,
284,29,No,Conventional,rainfed,upland,0.003576222,0.044692508,-0.029413885,0.00321386,,,,,,
285,30,No,Conventional,rainfed,upland,-0.065939952,0.03761048,-0.044451763,0.003884866,,,,,,
286,30,No,Conventional,rainfed,upland,-0.001983734,0.03520387,-0.011928571,0.003757105,,,,,,
287,30,No,Conventional,rainfed,upland,-0.219878969,0.044836851,-0.024001152,0.003803563,,,,,,
288,29,Yes,Conventional,rainfed,upland,-0.008768567,0.008492084,,,,,,,,
289,29,Yes,Conventional,rainfed,upland,-0.007399508,0.008480372,,,,,,,,
290,29,Yes,Conventional,rainfed,upland,0.0166422,0.00827984,,,,,,,,
291,30,Yes,Conventional,rainfed,upland,-0.056779202,0.0090515,,,,,,,,
292,30,Yes,Conventional,rainfed,upland,-0.036816415,0.00886432,,,,,,,,
293,30,Yes,Conventional,rainfed,upland,-0.078521461,0.00926405,,,,,,,,
294,31,No,Conservation,rainfed,upland,,,,,,,,,0.267062786,0.005150984
295,31,No,Conservation,rainfed,upland,,,,,,,,,0.059719235,0.001829228
296,31,No,Conservation,rainfed,upland,,,,,,,,,0.045809535,0.049259591
297,31,No,Conservation,rainfed,upland,,,,,,,,,0.112795494,0.038257799
298,28,No,Conventional,intermittent,paddy,,,,,0.839750655,0.001854711,0.748831444,0.001664074,,
299,28,No,Conventional,intermittent,paddy,,,,,0.977534357,0.001574787,0.585671801,0.001663472,,
300,28,No,Conventional,intermittent,paddy,,,,,0.867500568,0.003167574,0.747137564,0.001669769,,
301,28,No,Conventional,intermittent,paddy,,,,,0.962810748,0.003011375,0.584833107,0.001668772,,
302,32,No,Conventional,rainfed,upland,-0.092227424,0.011456953,0.009046625,0.001650118,,,,,,
303,32,No,Conventional,rainfed,upland,-0.082934674,0.011456953,,,,,,,,
304,32,No,Conventional,rainfed,upland,-0.20208103,0.011456953,0.056655598,0.001013645,,,,,,
305,32,No,Conventional,rainfed,upland,-0.024075064,0.011456953,0.100862335,0.001351127,,,,,,
306,32,No,Conventional,irrigated,upland,0.010423721,0.011456953,,,,,,,,
307,32,No,Conventional,rainfed,upland,-0.116208862,0.011456953,0.047686432,0.002967318,,,,,,
308,32,Yes,Conventional,rainfed,upland,-0.011282327,0.011456953,,,,,,,,
309,32,No,Conventional,rainfed,upland,0.072875234,0.011456953,,,,,,,,
310,32,No,Conventional,rainfed,upland,0.047220938,0.011456953,0.089562468,0.000843676,,,,,,
311,32,No,Conventional,irrigated,upland,-0.379394757,0.011456953,,,,,,,,
312,32,No,Conventional,rainfed,upland,,,0.131785784,0.002424245,,,,,,
313,33,No,Conventional,flooding,paddy,0.061195561,0.001577693,,,,,0.629777567,0.008426708,,
314,33,No,Conventional,flooding,paddy,0.173382042,0.00312674,,,,,0.261013826,0.015675723,,
315,33,No,Conventional,flooding,paddy,-0.030614636,0.00958227,,,,,0.797589844,0.008100917,,
316,33,No,Conventional,flooding,paddy,0.267376806,0.004892741,,,,,0.479136113,0.00231558,,
317,34,Yes,Conservation,rainfed,upland,0.029522439,0.011456953,,,,,,,,
318,34,Yes,Conservation,rainfed,upland,0.123731009,0.011456953,,,,,,,,
319,34,Yes,Conservation,rainfed,upland,0.052010169,0.011456953,,,,,,,,
320,34,No,Conservation,rainfed,upland,-0.12700963,0.011456953,,,,,,,,
321,35,No,Conventional,flooding,paddy,-0.08288766,0.001888986,,,-1.356441398,0.086129251,0.97112321,0.122897496,,
322,35,No,Conventional,flooding,paddy,0.055262679,0.002964567,,,-0.164303051,0.086129251,1.019831411,0.122897496,,
