study,rr,var,rrinter,varinter,variable,management
26,0.139529412,0.002099451,,,SOC,Conservation tillage
40,0.139355521,0.004364336,-0.158224005,0.008728671,SOC,Conservation tillage
40,-0.018868484,0.004364336,,,SOC,Conservation tillage
40,-0.012149057,0.004364336,0,0.008728671,SOC,Conservation tillage
40,-0.012149057,0.004364336,,,SOC,Conservation tillage
69,0.00793655,0.002182168,0.008758329,0.004364336,SOC,Conservation tillage
69,0.016694879,0.002182168,,,SOC,Conservation tillage
69,0.185998032,0.002182168,-0.123721102,0.004364336,SOC,Conservation tillage
69,0.06227693,0.002182168,,,SOC,Conservation tillage
69,0.146860247,0.002182168,-0.175031124,0.004364336,SOC,Conservation tillage
69,-0.028170877,0.002182168,,,SOC,Conservation tillage
69,0.06701071,0.002182168,0.038908309,0.004364336,SOC,Conservation tillage
69,0.105919019,0.002182168,,,SOC,Conservation tillage
69,0.063421826,0.002182168,0.02314619,0.004364336,SOC,Conservation tillage
69,0.086568016,0.002182168,,,SOC,Conservation tillage
69,-0.059316577,0.002182168,0.1031192,0.004364336,SOC,Conservation tillage
69,0.043802623,0.002182168,,,SOC,Conservation tillage
118,-0.014878064,0.012527466,0.045337272,0.030439415,SOC,Conservation tillage
118,0.030459207,0.017911949,,,SOC,Conservation tillage
118,0.016529302,0.014511249,-0.055428782,0.031743778,SOC,Conservation tillage
118,-0.03889948,0.017232528,,,SOC,Conservation tillage
118,-0.091072885,0.006765694,0.012328518,0.009977278,SOC,Conservation tillage
118,-0.078744368,0.003211584,,,SOC,Conservation tillage
124,0.012270093,0.004364336,0.085368377,0.008728671,SOC,Conservation tillage
124,0.09763847,0.004364336,,,SOC,Conservation tillage
124,-0.00619197,0.004364336,0.056202391,0.008728671,SOC,Conservation tillage
124,0.05001042,0.004364336,,,SOC,Conservation tillage
137,0.087685005,0.003273252,-4.17E-10,0.006546503,SOC,Conservation tillage
137,0.087685004,0.003273252,,,SOC,Conservation tillage
137,0.109663911,0.003273252,-1.63E-10,0.006546503,SOC,Conservation tillage
137,0.109663911,0.003273252,,,SOC,Conservation tillage
137,0.059255696,0.003273252,1.81E-11,0.006546503,SOC,Conservation tillage
137,0.059255696,0.003273252,,,SOC,Conservation tillage
137,0.107393332,0.003273252,8.86E-11,0.006546503,SOC,Conservation tillage
137,0.107393332,0.003273252,,,SOC,Conservation tillage
137,0.055814779,0.003273252,5.31E-11,0.006546503,SOC,Conservation tillage
137,0.055814779,0.003273252,,,SOC,Conservation tillage
137,0.072812356,0.003273252,1.45E-11,0.006546503,SOC,Conservation tillage
137,0.072812356,0.003273252,,,SOC,Conservation tillage
125,-0.021739987,0.004364336,-0.039220713,0.008728671,SOC,Conservation tillage
125,-0.0609607,0.004364336,,,SOC,Conservation tillage
175,0.205980531,0.003273252,-0.112295047,0.006546503,SOC,Conservation tillage
175,0.093685484,0.003273252,,,SOC,Conservation tillage
175,0.076039807,0.003273252,0.005832728,0.006546503,SOC,Conservation tillage
175,0.081872534,0.003273252,,,SOC,Conservation tillage
175,-0.03679434,0.003273252,0.011060645,0.006546503,SOC,Conservation tillage
175,-0.025733695,0.003273252,,,SOC,Conservation tillage
175,-0.05709682,0.003273252,0.017400318,0.006546503,SOC,Conservation tillage
175,-0.039696502,0.003273252,,,SOC,Conservation tillage
176,0.072072348,0.003273252,0.004546689,0.006546503,SOC,Conservation tillage
176,0.076619037,0.003273252,,,SOC,Conservation tillage
176,-0.067468868,0.003273252,0.121384227,0.006546503,SOC,Conservation tillage
176,0.053915359,0.003273252,,,SOC,Conservation tillage
176,0.147007792,0.003273252,-0.067719952,0.006546503,SOC,Conservation tillage
176,0.07928784,0.003273252,,,SOC,Conservation tillage
191,-0.005420067,0.004364336,0.082579148,0.008728671,SOC,Conservation tillage
191,0.077159081,0.004364336,,,SOC,Conservation tillage
191,0.066691374,0.004364336,-0.055196995,0.008728671,SOC,Conservation tillage
191,0.011494379,0.004364336,,,SOC,Conservation tillage
191,-0.057819571,0.004364336,0.033428118,0.008728671,SOC,Conservation tillage
191,-0.024391453,0.004364336,,,SOC,Conservation tillage
194,0.117783036,0.004364336,0.032697915,0.008728671,SOC,Conservation tillage
194,0.150480951,0.004364336,,,SOC,Conservation tillage
194,0.117783036,0.004364336,-0.027269028,0.008728671,SOC,Conservation tillage
194,0.090514008,0.004364336,,,SOC,Conservation tillage
197,0.11868597,0.004364336,0.060279879,0.008728671,SOC,Conservation tillage
197,0.178965849,0.004364336,,,SOC,Conservation tillage
197,0.024097552,0.004364336,-0.052124864,0.008728671,SOC,Conservation tillage
197,-0.028027312,0.004364336,,,SOC,Conservation tillage
197,0.035932009,0.004364336,-0.100805595,0.008728671,SOC,Conservation tillage
197,-0.064873586,0.004364336,,,SOC,Conservation tillage
197,0.221516212,0.004364336,-0.146511298,0.008728671,SOC,Conservation tillage
197,0.075004914,0.004364336,,,SOC,Conservation tillage
197,0.051496526,0.004364336,-0.214902636,0.008728671,SOC,Conservation tillage
197,-0.16340611,0.004364336,,,SOC,Conservation tillage
197,0.130879575,0.004364336,-0.035569395,0.008728671,SOC,Conservation tillage
197,0.09531018,0.004364336,,,SOC,Conservation tillage
197,0.012631747,0.004364336,0.034251839,0.008728671,SOC,Conservation tillage
197,0.046883586,0.004364336,,,SOC,Conservation tillage
197,0.020965128,0.004364336,0.120534434,0.008728671,SOC,Conservation tillage
197,0.141499562,0.004364336,,,SOC,Conservation tillage
197,0.188657375,0.004364336,-0.016386154,0.008728671,SOC,Conservation tillage
197,0.172271221,0.004364336,,,SOC,Conservation tillage
197,0.08524428,0.004364336,0.006422909,0.008728671,SOC,Conservation tillage
197,0.091667189,0.004364336,,,SOC,Conservation tillage
197,0.148096171,0.004364336,-0.073988199,0.008728671,SOC,Conservation tillage
197,0.074107972,0.004364336,,,SOC,Conservation tillage
197,0.059242834,0.004364336,0.103276096,0.008728671,SOC,Conservation tillage
197,0.162518929,0.004364336,,,SOC,Conservation tillage
197,0.085445206,0.004364336,0.069351677,0.008728671,SOC,Conservation tillage
197,0.154796883,0.004364336,,,SOC,Conservation tillage
197,0.059242834,0.004364336,0.133581445,0.008728671,SOC,Conservation tillage
197,0.192824279,0.004364336,,,SOC,Conservation tillage
197,0.148096171,0.004364336,-0.008924605,0.008728671,SOC,Conservation tillage
197,0.139171566,0.004364336,,,SOC,Conservation tillage
199,0.0179492,0.003273252,-0.014431166,0.006546503,SOC,Conservation tillage
199,0.003518034,0.003273252,,,SOC,Conservation tillage
199,0.101991328,0.003273252,-0.066505129,0.006546503,SOC,Conservation tillage
199,0.035486199,0.003273252,,,SOC,Conservation tillage
199,0.004150614,0.003273252,-0.01924524,0.006546503,SOC,Conservation tillage
199,-0.015094626,0.003273252,,,SOC,Conservation tillage
199,-0.002081785,0.003273252,-0.02923021,0.006546503,SOC,Conservation tillage
199,-0.031311995,0.003273252,,,SOC,Conservation tillage
207,-0.045809536,0.023644603,0.127726659,0.076993028,SOC,Conservation tillage
207,0.081917122,0.053348425,,,SOC,Conservation tillage
207,0.049761509,0.034542783,-0.226040751,0.185150695,SOC,Conservation tillage
207,-0.176279242,0.150607912,,,SOC,Conservation tillage
20,-0.223143551,0.064596939,0.557015006,0.129193877,N2O,Conservation tillage
20,0.333871455,0.064596939,,,N2O,Conservation tillage
20,-0.533683762,0.064596939,0.685233659,0.129193877,N2O,Conservation tillage
20,0.151549898,0.064596939,,,N2O,Conservation tillage
27,0.380772496,0.001705995,-0.124052649,0.003724873,N2O,Conservation tillage
27,0.256719847,0.002018878,,,N2O,Conservation tillage
11,0.811087573,0.304414628,-0.869612818,0.482597075,N2O,Conservation tillage
11,-0.058525245,0.178182447,,,N2O,Conservation tillage
11,0.080945924,0.189338358,-0.0810635,0.449537109,N2O,Conservation tillage
11,-0.000117576,0.260198751,,,N2O,Conservation tillage
11,0.883930712,0.54278906,-0.539403798,0.709573373,N2O,Conservation tillage
11,0.344526914,0.166784313,,,N2O,Conservation tillage
40,0.2135741,0.042198339,-0.167054085,0.111537368,N2O,Conservation tillage
40,0.046520016,0.06933903,,,N2O,Conservation tillage
40,0.064538521,0.102296008,-0.330241687,0.249368053,N2O,Conservation tillage
40,-0.265703166,0.147072045,,,N2O,Conservation tillage
90,-0.202417421,0.065304161,-0.092904108,0.108334243,N2O,Conservation tillage
90,-0.295321529,0.043030082,,,N2O,Conservation tillage
90,-0.010526413,0.066192994,0.328564948,0.107951838,N2O,Conservation tillage
90,0.318038535,0.041758844,,,N2O,Conservation tillage
90,0.26918749,0.065750384,0.426240193,0.108354586,N2O,Conservation tillage
90,0.695427683,0.042604203,,,N2O,Conservation tillage
50,0.119545151,0.064596939,-0.04432173,0.129193877,N2O,Conservation tillage
50,0.075223421,0.064596939,,,N2O,Conservation tillage
50,0,0.064596938,-0.69314718,0.129193877,N2O,Conservation tillage
50,-0.69314718,0.064596938,,,N2O,Conservation tillage
50,-0.042925045,0.064596939,-0.531616393,0.129193877,N2O,Conservation tillage
50,-0.574541438,0.064596939,,,N2O,Conservation tillage
167,0.370373789,0.129193877,-0.976509593,0.258387755,N2O,Conservation tillage
